Station,latitude,longitude,Sum1990,Sum1995,Sum2000,Sum2005,Sum2010,Sum2013
Ambagan(Ctg),22.2417227,91.6413344,2378,2258,3235,2331,2405,2379
Barisal,22.70497,90.37013,2260,2038,1770,1943,1662,2321
Bhola,22.68759,90.64403,2077,2248,2031,2366,1772,2194
Bogra,24.85098,89.37108,1956,2025,1840,2091,1274,1219
Chandpur,23.2321,90.6631,2852,2444,1785,1539,1596,2545
Chittagong,22.3384,91.83168,1451,1519,3503,1482,2437,2561
chuadanga,23.6418,88.8577,2045,2102,1801,2424,852,1165
Comilla,23.46186,91.18503,4168,3455,2044,3384,1578,1643
Cox's Bazar,21.43973,92.00955,2103,1751,4707,2637,3438,4059
Dhaka,23.7104,90.40744,2081,2613,2104,2975,1523,1590
Dinajpur,25.62745,88.63779,1985,2006,1515,1650,1641,1827
Faridpur,23.60612,89.84064,3766,3009,1952,2868,1409,1639
Feni,23.0144,91.3966,1712,1330,3651,3814,2447,2488
Hatiya,22.2881,91.1401,2099,1397,3293,1819,3052,3436
Ishurdi,24.12858,89.06573,1686,3357,1808,1678,894,1129
Jessore,23.16971,89.21371,3211,2046,1811,3348,1380,1676
Khepupara,21.9938,90.2292,1938,3048,2814,1982,2568,3120
Khulna,22.80979,89.56439,3421,2189,1756,2727,1206,2064
Kutubdia,21.8167,91.8583,2127,1797,3138,1805,2702,4203
Madaripur,23.17097,90.20935,2198,2645,1917,2406,1186,2152
Mongla,22.4942,89.6016,2776,2951,1799,2672,1673,1831
Mymensingh,24.75636,90.40646,1767,1432,2317,2703,2095,1739
Patuakhali,22.3586,90.3317,2532,2403,2130,1405,2167,2658
Rajshahi,24.374,88.60114,2386,2461,1690,2124,792,1248
Rangamati,22.6573,92.1733,3385,2234,2934,2853,2645,1950
Rangpur,25.74664,89.25166,1928,1765,1745,3067,2102,1916
Sandwip,22.51409,91.45491,3529,2459,4016,1982,3509,3061
Satkhira,22.70817,89.07185,2511,2113,2002,3030,1295,1662
Sitakunda,22.6171,91.6809,4245,2452,3456,2375,2868,2598
Srimangal,24.3065,91.7296,1580,3873,3161,2650,2150,2250
sydpur,25.783,88.8983,3596,1852,1466,4163,1951,1722
Sylhet,24.89904,91.87198,0,4285,4692,2017,4800,3616
Tangail,24.24984,89.91655,0,0,1792,3784,1750,1182
Teknaf,20.85829,92.29773,0,0,4987,0,4264,4186
